Time (s)	System Output	ControllerOutput
7.760083	0.975707	0.979199
7.770083	0.975793	0.979269
7.780083	0.975878	0.979344
7.790083	0.975963	0.979413
7.800084	0.976048	0.979488
7.810084	0.976133	0.979557
7.820084	0.976217	0.979631
7.830084	0.976301	0.979700
7.840085	0.976385	0.979771
7.850085	0.976468	0.979843
7.860085	0.976551	0.979912
7.870085	0.976634	0.979983
7.880085	0.976716	0.980054
7.890086	0.976798	0.980123
7.900086	0.976880	0.980193
7.910086	0.976962	0.980262
7.920086	0.977043	0.980333
7.930087	0.977124	0.980400
7.940087	0.977204	0.980470
7.950087	0.977284	0.980538
7.960087	0.977364	0.980606
7.970088	0.977444	0.980674
7.980088	0.977523	0.980742
7.990088	0.977602	0.980810
8.000088	0.977681	0.980877
8.010088	0.977760	0.980944
8.020088	0.977838	0.981011
8.030088	0.977916	0.981078
8.040089	0.977993	0.981145
8.050089	0.978070	0.981212
8.060089	0.978147	0.981278
8.070089	0.978224	0.981342
8.080090	0.978300	0.981409
8.090090	0.978377	0.981474
8.100090	0.978452	0.981541
8.110090	0.978528	0.981604
8.120090	0.978603	0.981670
8.130091	0.978678	0.981735
8.140091	0.978753	0.981800
8.150091	0.978827	0.981862
8.160091	0.978901	0.981928
8.170092	0.978975	0.981990
8.180092	0.979049	0.982056
8.190092	0.979122	0.982116
8.200092	0.979195	0.982182
8.210093	0.979268	0.982242
8.220093	0.979341	0.982308
8.230093	0.979413	0.982368
8.240093	0.979485	0.982433
8.250093	0.979557	0.982492
8.260094	0.979628	0.982557
8.270094	0.979700	0.982616
8.280094	0.979771	0.982679
8.290094	0.979841	0.982739
8.300095	0.979912	0.982802
8.310095	0.979982	0.982861
8.320095	0.980052	0.982922
8.330095	0.980122	0.982981
8.340096	0.980191	0.983044
8.350096	0.980260	0.983102
8.360096	0.980329	0.983163
8.370096	0.980398	0.983221
8.380096	0.980466	0.983281
8.390097	0.980535	0.983340
8.400097	0.980603	0.983399
8.410097	0.980671	0.983457
8.420097	0.980738	0.983516
8.430098	0.980805	0.983574
8.440098	0.980872	0.983632
8.450098	0.980939	0.983690
8.460098	0.981006	0.983748
8.470098	0.981072	0.983805
8.480099	0.981138	0.983863
8.490099	0.981204	0.983920
8.500099	0.981270	0.983977
8.510099	0.981335	0.984034
8.520100	0.981400	0.984090
8.530100	0.981465	0.984145
8.540100	0.981530	0.984202
8.550100	0.981594	0.984258
8.560101	0.981659	0.984314
8.570101	0.981723	0.984370
8.580101	0.981787	0.984423
8.590101	0.981850	0.984480
8.600101	0.981914	0.984534
8.610102	0.981977	0.984588
8.620102	0.982040	0.984643
8.630102	0.982102	0.984698
8.640102	0.982165	0.984750
8.650103	0.982227	0.984806
8.660103	0.982289	0.984859
8.670103	0.982351	0.984912
8.680103	0.982413	0.984967
